BIN_ID,WAREHOUSE_1,WAREHOUSE_2,WAREHOUSE_3,WAREHOUSE_4,DAMAGED_1,DAMAGED_2,DAMAGED_3,DAMAGED_4
91,145,0,0,0,2,0,0,0
92,146,0,0,0,2,0,0,0
93,147,0,0,0,2,0,0,0
94,149,0,0,0,2,0,0,0
95,150,0,0,0,2,0,0,0
96,151,0,0,0,2,0,0,0
97,152,0,0,0,2,0,0,0
98,153,0,0,0,2,0,0,0
99,155,0,0,0,2,0,0,0
100,156,0,395,399,2,0,0,0
101,157,0,0,0,2,0,0,0
102,158,0,0,0,2,0,0,0
103,159,0,0,0,2,0,0,0
104,161,0,0,0,2,0,0,0
105,162,0,0,0,2,0,0,0
106,164,0,0,0,2,0,0,0
107,165,0,0,0,2,0,0,0
108,167,0,0,0,2,0,0,0
109,168,0,0,0,2,0,0,0
110,171,0,0,0,2,0,0,0
111,172,0,0,0,2,0,0,0
112,174,0,0,0,2,0,0,0
113,175,0,0,0,2,0,0,0
114,177,0,0,0,2,0,0,0
115,180,0,0,0,2,0,0,0
116,181,0,0,0,2,0,0,0
117,185,0,0,0,2,0,0,0
118,187,0,0,0,2,0,0,0
119,188,0,0,0,2,0,0,0
120,190,0,0,0,2,0,0,0
121,192,0,0,0,2,0,0,0
122,193,0,0,0,2,0,0,0
123,195,0,0,0,2,0,0,0
124,197,0,0,0,2,0,0,0
125,198,0,0,0,2,0,0,0
126,199,0,0,0,2,0,0,0
127,200,0,0,0,2,0,0,0
128,201,0,0,0,2,0,0,0
129,202,0,0,0,2,0,0,0
130,204,0,0,0,2,0,0,0
131,205,0,0,0,2,0,0,0
132,207,0,0,0,2,0,0,0
133,208,0,0,0,2,0,0,0
134,209,0,0,0,2,0,0,0
135,210,0,0,0,2,0,0,0
136,211,0,0,0,2,0,0,0
137,214,0,0,0,2,0,0,0
138,215,0,0,0,2,0,0,0
139,216,0,0,0,2,0,0,0
140,217,0,0,0,2,0,0,0
141,218,0,0,0,2,0,0,0
142,219,0,0,0,2,0,0,0
143,220,0,0,0,2,0,0,0
144,221,0,0,0,2,0,0,0
145,223,0,0,0,2,0,0,0
146,224,0,0,0,2,0,0,0
147,226,0,0,0,2,0,0,0
148,227,0,0,0,2,0,0,0
149,229,0,0,0,2,0,0,0
150,230,0,0,0,2,0,0,0
151,231,0,0,0,2,0,0,0
152,233,0,0,0,2,0,0,0
153,236,0,0,0,2,0,0,0
154,237,0,0,0,2,0,0,0
155,239,0,0,0,2,0,0,0
156,240,0,0,0,2,0,0,0
157,243,0,0,0,2,0,0,0
158,245,0,0,0,2,0,0,0
159,246,0,0,0,2,0,0,0
160,247,0,0,0,2,0,0,0
161,249,0,0,0,2,0,0,0
162,251,0,0,0,2,0,0,0
163,256,0,0,0,2,0,0,0
164,257,0,0,0,2,0,0,0
165,259,0,0,0,2,0,0,0
166,260,0,0,0,2,0,0,0
167,263,0,0,0,2,0,0,0
168,265,0,0,0,2,0,0,0
169,266,0,0,0,2,0,0,0
170,269,0,0,0,2,0,0,0
171,270,0,0,0,2,0,0,0
172,272,0,0,0,2,0,0,0
173,276,0,0,0,2,0,0,0
174,278,0,0,0,2,0,0,0
175,279,0,0,0,2,0,0,0
176,281,0,0,0,2,0,0,0
177,283,0,0,0,2,0,0,0
178,284,0,0,0,2,0,0,0
179,285,0,0,0,2,0,0,0
180,286,0,0,0,2,0,0,0
181,287,0,0,0,2,0,0,0
182,288,0,0,0,2,0,0,0
183,289,0,0,0,2,0,0,0
184,290,0,0,0,2,0,0,0
185,291,0,0,0,2,0,0,0
186,293,0,0,0,2,0,0,0
187,294,0,0,0,2,0,0,0
188,295,0,0,0,2,0,0,0
189,302,0,0,0,2,0,0,0
190,303,0,0,0,2,0,0,0
191,304,0,0,0,2,0,0,0
192,307,0,0,0,2,0,0,0
193,309,0,0,0,2,0,0,0
194,310,0,0,0,2,0,0,0
195,311,0,0,0,2,0,0,0
196,312,0,0,0,2,0,0,0
197,313,0,0,0,2,0,0,0
198,314,0,0,0,2,0,0,0
199,315,0,0,0,2,0,0,0
200,316,0,0,0,2,0,0,0
201,317,0,0,0,2,0,0,0
202,318,0,0,0,2,0,0,0
203,320,0,0,0,2,0,0,0
204,323,0,0,0,2,0,0,0
205,324,0,0,0,2,0,0,0
206,325,0,0,0,2,0,0,0
207,328,0,0,0,2,0,0,0
208,329,0,0,0,2,0,0,0
209,333,0,0,0,2,0,0,0
210,335,0,0,0,2,0,0,0
211,337,0,0,0,2,0,0,0
212,338,0,0,0,2,0,0,0
213,340,0,0,0,2,0,0,0
214,341,0,0,0,2,0,0,0
215,342,0,0,0,2,0,0,0
216,346,0,0,0,2,0,0,0
217,347,0,0,0,2,0,0,0
218,348,0,0,0,2,0,0,0
219,350,0,0,0,2,0,0,0
220,353,0,0,0,2,0,0,0
221,354,0,0,0,2,0,0,0
222,355,0,0,0,2,0,0,0
223,356,0,0,0,2,0,0,0
224,357,0,0,0,2,0,0,0
225,359,0,0,0,2,0,0,0
226,360,0,0,0,2,0,0,0
227,362,0,0,0,2,0,0,0
228,363,0,0,0,2,0,0,0
229,366,0,0,0,2,0,0,0
230,367,0,0,0,2,0,0,0
231,368,0,0,0,2,0,0,0
232,369,0,0,0,2,0,0,0
233,371,0,0,0,2,0,0,0
234,372,0,0,0,2,0,0,0
235,373,0,0,0,2,0,0,0
236,374,0,0,0,2,0,0,0
237,381,0,0,0,2,0,0,0
238,383,0,0,0,2,0,0,0
239,384,0,0,0,2,0,0,0
240,385,0,0,0,2,0,0,0
241,386,0,0,0,2,0,0,0
242,388,0,0,0,2,0,0,0
243,390,0,0,0,2,0,0,0
244,392,0,0,0,2,0,0,0
245,394,0,0,0,2,0,0,0
246,395,0,0,0,2,0,0,0
247,396,0,0,0,2,0,0,0
248,397,0,0,0,2,0,0,0
249,398,0,0,0,2,0,0,0
250,399,0,0,0,2,0,0,0
251,0,0,0,0,2,0,0,0
252,0,0,0,0,2,0,0,0
253,0,0,0,0,2,0,0,0
254,0,0,0,0,2,0,0,0
255,0,0,0,0,2,0,0,0
256,0,0,0,0,2,0,0,0
257,0,0,0,0,2,0,0,0
258,0,0,0,0,2,0,0,0
259,0,0,0,0,2,0,0,0
260,0,0,0,0,2,0,0,0
261,0,0,0,0,2,0,0,0
262,0,0,0,0,2,0,0,0
263,0,0,0,0,2,0,0,0
264,0,0,0,0,2,0,0,0
265,0,0,0,0,2,0,0,0
266,0,0,0,0,2,0,0,0
267,0,0,0,0,2,0,0,0
268,0,0,0,0,2,0,0,0
269,0,0,0,0,2,0,0,0
270,0,0,0,0,2,0,0,0
271,0,0,0,0,2,0,0,0
272,0,0,0,0,2,0,0,0
273,0,0,0,0,2,0,0,0
274,0,0,0,0,2,0,0,0
275,0,0,0,0,2,0,0,0
276,0,0,0,0,2,0,0,0
277,0,0,0,0,2,0,0,0
278,0,0,0,0,2,0,0,0
279,0,0,0,0,2,0,0,0
280,0,0,0,0,2,0,0,0
281,0,0,0,0,2,0,0,0
282,0,0,0,0,2,0,0,0
283,0,0,0,0,2,0,0,0
284,0,0,0,0,2,0,0,0
285,0,0,0,0,2,0,0,0
286,0,0,0,0,2,0,0,0
287,0,0,0,0,2,0,0,0
288,0,0,0,0,2,0,0,0
289,0,0,0,0,2,0,0,0
290,0,0,0,0,2,0,0,0
291,0,0,0,0,2,0,0,0
292,0,0,0,0,2,0,0,0
293,0,0,0,0,2,0,0,0
294,0,0,0,0,2,0,0,0
295,0,0,0,0,2,0,0,0
296,0,0,0,0,2,0,0,0
297,0,0,0,0,2,0,0,0
298,0,0,0,0,2,0,0,0
299,0,0,0,0,2,0,0,0
300,0,0,0,0,2,0,0,0
